abacusai/deepagent-releases	80	A powerful desktop AI assistant with agentic browsing, listening, coding CLI and editor	coding cli
lucaGazzola/forgeo	36	A scheduled, agent-driven software factory. Keep a plain JSON backlog; Forgeo runs your coding agent (Claude Code, Codex, opencode) on each task and commits to main. Refactors when idle. No branches, no PRs.	coding agent
martian56/lumnicode	55	Free to use web based AI code editor and generator. BYOK (Bring your own keys)	code editor
maruakshay/miii-cli	29	Local AI coding agent for your terminal. Open-source, offline alternative to Claude Code, Cursor & Copilot — powered by Ollama and any local LLM. Private by default, free forever.	coding agent
Md-Ashraful-Pramanik/MapCoder	194	MapCoder: Multi-Agent Code Generation for Competitive Problem Solving	code generation
Natfii/UnrealClaude	883	Claude Code CLI integration for Unreal Engine 5.7 - Get AI coding assistance with built-in UE5.7 documentation context directly in the editor.	ai coding
obra/coderabbit-review-helper	54	Extract CodeRabbit GitHub PR reviews for AI coding agent consumption	coding agent
ocean-luna/HMRAG	112	[ACM MM2025] Official code of " HM-RAG: Hierarchical Multi-Agent Multimodal Retrieval Augmented Generation"	multi-agent
oi-overide/oi	192	Overide (pronounced over·ide) is a lightweight, yet powerful CLI tool that seamlessly integrates AI-powered code generation into your development workflow. It works platform-agnostically with OpenAI, DeepSeek, and Groq to provide intelligent code updates directly in your preferred code editor - no extensions required.	code editor
openai/multi-agent-emergence-environments	1814	Environment generation code for the paper "Emergent Tool Use From Multi-Agent Autocurricula"	multi-agent
patrickdappollonio/dux	66	Dux is a terminal UI that lets you run multiple AI coding agents side by side, each in its own git worktree, with full companion terminals, macros, commit generation, and a command palette that knows more tricks than you do.	coding agent
peterfei/ifai	99	若爱 (IfAI) — AI Agent 编排助手 & 代码编辑器 | An AI Agent Orchestrator & Code Editor built with Tauri 2.0	code editor
project-codeguard/rules	420	Project CodeGuard is an AI model-agnostic security framework and ruleset that embeds secure-by-default practices into AI coding workflows (generation and review). It ships core security rules, translators for popular coding agents, and validators to test rule compliance.	coding agent
quack-ai/companion	53	VSCode coding companion for software teams 🦆 Turn your team insights into a portable plug-and-play context for code generation. Alternative to GitHub Copilot & OpenAI GPT powered by OSS LLMs (Phi 3, Llama 3, CodeQwen, Mistral, etc.), made with ❤️ using FastAPI & Ollama.	code generation
quack-ai/companion-vscode	233	VSCode extension of Quack Companion 💻 Turn your team insights into a portable plug-and-play context for code generation. Alternative to GitHub Copilot powered by OSS LLMs (Mistral, Gemma, etc.), served with Ollama.	code generation
remiphilippe/mcp-unreal	67	MCP server that gives AI coding agents (Claude Code, Cursor, etc.) full control over Unreal Engine 5.7 projects — headless builds & tests, Blueprint editing, actor manipulation, procedural mesh generation, and UE API documentation lookup.	coding agent
RooCodeInc/Roo-Code	24331	Roo Code gives you a whole dev team of AI agents in your code editor.	code editor
RooCodeInc/Roo-Code-Docs	160	This is the documentation for Roo Code, an AI-powered autonomous coding agent that lives in your editor.	coding agent
ruilong1999/agent-sandbox	64	Agent — A next-generation sandbox for AI code agents. Environment management, CI/CD pipelines, and multi-agent collaboration.	code agent
SeemSeam/claude_codex_bridge	3429	Visible multi-agent CLI workspace for mixing Codex, Claude, Gemini, Kimi, Qwen, Cursor, Copilot, Pi, OpenCode, and other AI coding agents	coding agent
shareAI-lab/learn-claude-code	74684	Bash is all you need -  A nano claude code–like 「agent harness」, built from 0 to 1	agent harness
soldatov-ss/django-completion	40	Django manage.py context for coding agents — and tab completion for you	coding agent
sonnhfit/SonAgent	38	Self-Repairing Autonomous Agent for Digital Consciousness Backup Using Large Language Models (LLM) and  powerful code generation capability, self-editing source code and self-debugging its own source code	code generation
stable-lab/MAGE	133	MAGE: A Multi-Agent Engine for Automated RTL Code Generation	code generation
tempont/small-opencode-orchestrator	31	A lightweight implementation of an orchestrated multi-agent workflow, in which a central coordinator delegates tasks to specialized subagents to optimize token efficiency without compromising code generation quality.	code generation
the-open-agent/openagent	5536	⚡️next-generation personal AI assistant powered by LLM, RAG and agent loops, supporting computer-use, browser-use and coding agent, demo: https://demo.openagentai.org	coding agent
THUDM/SceneGenAgent	37	[ACL 2025 Main] SceneGenAgent: Precise Industrial Scene Generation with Coding Agent	coding agent
tjx666/vscode-mcp	98	MCP server for Claude Code/VSCode/Cursor/Windsurf to use editor self functionality. ⚡ Get real-time LSP diagnostics, type information, and code navigation for AI coding agents without waiting for slow tsc/eslint checks.	coding agent
tomlin7/biscuit	264	biscuit is a native, extensible, AI code editor. lightweight <20 mb in size. install and start using in seconds.	code editor
trypear/pear-landing-page	117	Landing page for PearAI, the Open Source AI Code Editor	code editor
vibe-cy/CyCode	45	CyCode is a lightweight AI coding agent that runs in your terminal. It uses an OpenAI-compatible Chat Completions API and provides built-in tools for reading files, applying precise edits, searching code, running shell commands, and delegating work to sub-agents.	coding agent
WalkingDevFlag/MLE-STAR-Open	33	Unofficial, Google‑free reimplementation of MLE‑STAR: a lightweight, local‑friendly multi‑agent ML engineering pipeline that uses OpenAI‑compatible LLMs (OpenRouter/Ollama) and DuckDuckGo search to generate, debug, refine, ensemble, and submit Kaggle‑ready solutions—AutoML for tabular tasks with code generation and iterative refinement.	code generation
we0-dev/we0	925	we0 is an AI code editor for development programmers and product managers. same v0, bolt.new,lovable	code editor
Windy3f3f3f3f/claude-code-from-scratch	2582	Build your own Claude Code from scratch.  🔍 Claude Code 开源了 50 万行代码，读不动？用 ~5000 行 TypeScript / Python 从零复现核心架构，11 章分步教程带你理解 coding agent 精髓	coding agent
Windy3f3f3f3f/how-claude-code-works	3480	Deep dive into Claude Code internals — architecture, agent loop, context engineering, and more. / 深入解析 Claude Code 源码：架构、Agent 循环、上下文工程、工具系统等	agent loop
XCodingLab/XCoding	54	XCoding: a lightweight AI vibe coding IDE that supports parallel multi-agent collaboration (Codex/Claude Code) and parallel multi-project development, featuring a VS Code–like editor and terminal with task-driven workflows and code change management.	multi-agent
XMUDeepLIT/LegalGraphRAG	50	[ACL'26 Main] Official code for "LegalGraphRAG: Multi-Agent Graph Retrieval-Augmented Generation for Reliable Legal Reasoning".	multi-agent
ZaxbyHub/opencode-swarm	447	  Architect-centric agentic swarm plugin for OpenCode. Hub-and-spoke orchestration with SME consultation, code generation, and QA review.	code generation
zhangliang605/carrycode	44	CarryCode is a terminal-native AI coding agent that helps you write, refactor, debug, and understand code — all through natural conversation. It connects to 17+ LLM providers, supports the MCP protocol for extensibility, and delivers a beautiful terminal UI with themes, syntax highlighting, and code diff previews.	coding agent
Zoo-Code-Org/Zoo-Code	1660	Zoo Code gives you a whole dev team of AI agents in your code editor.	code editor
