2217173240/Coding-Agent-prompt-best-practice	56	build any software as you wish
mastra-ai/template-coding-agent	53	Advanced Mastra AI coding agent with secure sandbox execution, comprehensive file management, and multi-language support for Python, JavaScript, and TypeScript development workflows
HsienW/ai-agent-coding-solution-kit	52	📗Reusable docs, prompts, templates, and engineering practices for AI-agent coding, agent design, OpenSpec/SDD, context engineering, prompt engineering, and agent workflows.
gni/pi-coding-agent-container	50	pi-coding-agent docker compose
lyxhnu/multi-coding-agent	49	深度优化多Agent自主执行编码 Harness 框架，支持从自然语言任务出发，完成任务规划、代码生成、自动验证与迭代修复闭环，并成功接入 Terminal-Bench 2.0 评测体系，任务完成率约 40%，榜单排名约 70。
tndata/CodingAgentExplorer	48	Real-time .NET proxy and dashboard for inspecting AI coding agent API calls (currently supports Claude Code)
seandavi/agentic-coding-intro	48	A brief introduction to agentic coding principles and practice
sugarforever/understanding-fantastic-coding-agents	46	
harooos/awesome-coding-agents-for-robot-learning	44	A curated research map of coding agents for robot learning
LongNgn204/local-coding-agent	43	Local MCP coding agent for ChatGPT Web: run files/commands on your own machine via the OpenAI Secure Tunnel, with a Windows tray app and metrics dashboard.
zhouhao1024/Awesome-Self-Evolving-Coding-Agents	43	
satomic/gitlab-copilot-coding-agent	41	A fully automated coding agent powered by GitHub Copilot CLI and GitLab CI/CD.
disler/agentic-coding-tool-eval	41	Simple ideas to compare Agentic Coding Tools
kenjudy/pdca-agentic-coding-framework	41	Human-supervised AI code generation using Plan-Do-Check-Act methodology with TDD and refactoring. Works as Claude Code skill or standalone prompts.
jjmartres/ai-coding-agents	41	Single source of truth for AI coding agent configuration — skills, commands and rules shared across OpenCode and Pi.
The-Focus-AI/june-2025-coding-agent-report	40	Comprehensive evaluation of 15 AI coding agents (Cursor, Copilot, Claude, Replit, v0, Warp, etc.) with implementations, screenshots, and professional scoring. Published on Turing Post.
marlenezw/agentic-coding-talk	39	A Practical Guide to Agentic Coding — slide deck by Marlene Mhangami
kumo-ai/kumo-coding-agent	39	Kumo Coding Agent — context docs, skills, and self-maintenance for building ML models with the Kumo SDK
honeydew-ai/honeydew-ai-coding-agents-plugins	39	Honeydew AI plugins for coding agents (Claude Code, Codex, Cursor, Github Copilot, Gemini, etc...)
databrickslabs/coding-agents-databricks-apps	38	Run coding agents on Databricks Apps 🚀
mlopscommunity/Coding-Agents-Conference-skills	37	list of skills that folks talked about on the stage at the coding agent conference March 3rd 
weiyangzen/mbti-coding-agents	37	Precisely define coding agents with different LLM parameters.
tweag/agentic-coding-handbook	35	
simonw/llm-coding-agent	35	A coding agent built on LLM
Extra-Chill/wp-coding-agents	35	Run a personalized AI agent from the WordPress site root. 
